R_avg,G_avg,B_avg,Color_var,V_var,S_var,label
44.14709211,24.92235058,23.11127914,12307.55501,22635.94961,0.283509187,0
42.04276538,14.14477681,11.83161342,14382.45367,27451.21879,0.305891082,0
37.14407752,32.62553663,31.838437,10079.70282,23664.85404,0.208596148,0
32.91006307,36.42354312,38.28907852,10229.85801,24679.8779,0.060381804,0
39.22018935,39.73039842,36.11272189,14666.29698,24866.70762,0.118804514,0
11.04503219,8.490800564,7.369114703,12196.34745,13226.64905,0.071767363,0
22.93915763,22.5805774,22.36960647,9666.199543,17204.27917,0.012589594,0
46.94202617,38.02246909,36.31518142,11612.55319,30607.14075,0.209334709,0
17.50805668,18.76204103,20.46681445,15888.06599,19912.77516,0.053864198,0
38.56555155,15.23115782,13.03589908,12907.84608,23163.04412,0.279499276,0
46.32447085,37.14404406,36.98214205,6155.306444,26781.31652,0.291232067,0
30.18572787,26.27644386,22.97691525,16785.33964,25722.81723,0.117299757,0
30.09456834,30.99864936,31.05807024,13349.35547,18720.89893,0.008707464,0
14.67961103,17.55346397,20.25422479,8872.239316,13176.49374,0.132760412,0
46.64678289,38.30995823,32.63557609,10790.54571,22828.02795,0.053159395,0
41.83593462,37.66680431,36.00687314,12474.82784,29019.62841,0.194615437,0
26.84086005,25.53267563,24.63767013,16571.36613,17704.75541,0.049069283,0
27.17593271,25.8932082,28.38197641,13091.12313,24027.8993,0.257100954,0
46.40932895,45.23013355,44.46565706,10312.19477,24905.58698,0.270902903,0
39.17594574,40.18841555,38.54103007,10386.60984,18935.15442,0.077255102,0
33.61745163,27.69774882,26.77985997,13631.15782,20470.81014,0.062458794,0
43.29053542,36.75846403,36.81189832,8162.110812,19186.9661,0.206993422,0
28.56711736,24.58723634,24.48988643,15326.29506,19682.33701,0.07695492,0
32.51523511,4.323145085,6.27360586,12285.48391,21904.45251,0.353921462,0
17.37758164,8.044420604,6.845253705,11049.55551,20974.81333,0.327833101,0
4.627664059,3.232717244,2.60838423,13121.7891,16469.23821,0.165669141,0
41.13158906,25.29568293,23.93060856,17257.97204,26341.56136,0.106750127,0
34.88600426,1.570572678,1.811870417,5125.9221,15481.1014,0.476991256,0
30.55943976,26.23185987,24.91862537,14864.00534,20098.14844,0.05236882,0
34.6458317,39.94419363,36.26666955,7197.318731,24862.76696,0.183745526,0
40.18673545,32.58139527,29.92882096,13310.68231,24436.01341,0.301909949,0
34.12173227,29.41234081,27.18770545,14099.31927,22478.91652,0.064306487,0
36.70114314,29.67108083,27.70496844,13445.33484,23002.25817,0.083440217,0
41.94013311,20.06529491,16.73498062,16777.01383,25233.02686,0.205766567,0
30.93501494,28.11276825,27.38647291,8404.109738,18500.71933,0.194554944,0
35.70109778,34.6504173,23.11456902,9348.32419,25003.06989,0.192045594,0
44.04459864,34.92603701,33.32154972,6667.954362,25434.01196,0.133313759,0
32.26830069,27.07537868,26.58289736,12287.2206,22107.78386,0.05100808,0
33.38875715,18.25226758,15.10748522,16316.54742,25019.4748,0.249573552,0
